"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"2208440",6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559,2.71015133032403,2.43913619729163,2.19522257756246,0.941431788270001,0.847288609443001,0.762559748498701,0.68630377364883
"2446009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2782228",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329,0.22876792454961
"3697549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1896204",3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,6.86716393547322,6.1804475419259,5.56240278773331,5.00616250895998,4.50554625806398,4.05499163225759,3.64949246903183,3.28454322212864
"2065306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"498780",3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,6.86716393547322,6.1804475419259,5.56240278773331,5.00616250895998,4.50554625806398,4.05499163225759,3.64949246903183,3.28454322212864
"2804433",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"1644795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4448568",0,0,0,0,6.29583686600433,5.6662531794039,8.16973380193706,7.35276042174335,6.61748437956902,5.95573594161212,5.3601623474509,4.82414611270581,4.34173150143523,3.90755835129171,3.51680251616254
"268038",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"5112581",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4439228",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329,0.22876792454961
"1692174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5249087",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"1766219",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"1578567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1033925",11.6608952010506,8.59065970003161,7.73159373002845,6.9584343570256,6.26259092132304,5.63633182919074,5.07269864627167,4.5654287816445,4.10888590348005,3.69799731313204,3.32819758181884,2.99537782363696,2.69584004127326,2.42625603714594,0.915071698198441
"5155638",11.6608952010506,8.59065970003161,7.73159373002845,6.9584343570256,6.26259092132304,5.63633182919074,5.07269864627167,4.5654287816445,4.10888590348005,3.69799731313204,3.32819758181884,2.99537782363696,2.69584004127326,2.42625603714594,0.915071698198441
"1840043",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5229734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3994098",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329,0.22876792454961
"274062",0,0,0,0,0,0,0,24.6355323334387,22.1719791000948,19.9547811900853,17.9593030710768,16.1633727639691,14.5470354875722,13.092331938815,11.7830987449335
"2732012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2391638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3646539",1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,2.20909554133003,1.98818598719703,1.78936738847733,1.61043064962959,0.9102865828329,0.81925792454961
"5209114",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"4694395",0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938,0.86093442,0.774840978,0.6973568802,0.62762119218
"2998856",6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,23.4089143333976,21.0680229000578,18.961220610052,17.0650985490468,15.3585886941421,13.8227298247279,12.4404568422551,11.1964111580296
"3838512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3594217",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
"5183569",0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621,3.01127925591559
"1012789",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5345731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2950120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
