"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1231242",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"2070845",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,2.20909554133003,1.98818598719703,1.78936738847733,1.61043064962959,0.9102865828329
"514628",0,0,13.0471895621705,15.3502368277716,13.8152131449944,12.433691830495,14.6944523758339,13.2250071382505,19.131141509698,17.2180273587282,15.4962246228554,13.9466021605698,16.0482371896149,14.4434134706534,16.5076026390525
"5298248",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,5.48488478329663,4.93639630496697,4.44275667447027,3.99848100702325,3.59863290632092
"5103325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5136057",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"3651536",0,0,0,0,0,0,0,0,1,0.9,3.05460562531838,2.74914506278654,2.47423055650789,2.2268075008571,2.00412675077139
"2138665",0,0,0,1,0.9,5.88393243356697,5.29553919021027,7.78157236365253,7.00341512728728,6.30307361455855,8.72838607227557,7.85554746504801,7.06999271854321,6.36299344668889,5.72669410202
"5102408",0,0,0,0,0,0,0,0,1,9.30263302132089,8.3723697191888,7.53513274726992,6.78161947254293,6.10345752528864,5.49311177275977
"3795910",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"394366",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5053674",13.0471895621705,11.7424706059535,10.5682235453581,9.5114011908223,8.56026107174007,7.70423496456606,6.93381146810946,9.2971713612803,15.1453605936005,13.6308245342404,12.2677420808164,11.0409678727348,9.93687108546128,8.94318397691515,8.04886557922364
"139267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987354",0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401
"517885",0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729
"3633435",0,0,0,0,0,0,0,0,0,0,3.38629436111989,5.87258329629133,5.2853249666622,4.75679246999598,4.28111322299638
"4858839",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"5330802",0,0,0,0,0,0,0,1,9.30263302132089,8.3723697191888,7.53513274726992,6.78161947254293,6.10345752528863,5.49311177275977,4.9438005954838
"5338575",0,0,0,0,0,0,0,16.7505568153683,15.0755011338315,13.5679510204483,12.2111559184035,10.9900403265632,9.89103629390685,8.90193266451616,10.2922857244237
"4864102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5262363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5259851",0,0,0,0,0,0,0,0,2,0.9,0.81,0.729,0.6561,0.59049,0.531441
"3039682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3696476",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"5358764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4799195",0,1,3.21434684781959,8.83943676171549,7.95549308554394,7.15994377698955,6.44394939929059,5.79955445936153,5.21959901342538,4.69763911208284,4.22787520087456,3.8050876807871,6.07455899941808,5.46710309947627,4.92039278952864
"3852231",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9
"3182467",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9
"4766246",0,0,0,0,0,0,0,3.38629436111989,9.06265298176698,15.1113363186629,13.6002026867966,12.2401824181169,11.0161641763052,13.3122160048129,11.9809944043316
"2536407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3331371",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,11.545106619896,13.8993835362733,16.1226987593638,14.5104288834275,13.0593859950847,11.7534473955762,10.5781026560186
"2491905",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,2.16801417552399,1.95121275797159,1.75609148217444,0.96991059609,0.872919536481,0.7856275828329
"4774963",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3125280",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3167219",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"1809118",3.38629436111989,3.0476649250079,5.48488478329663,4.93639630496697,4.44275667447027,3.99848100702325,3.59863290632092,3.23876961568883,19.3125343716697,17.3812809345027,15.6431528410524,14.0788375569472,12.6709538012525,11.4038584211272,10.2634725790145
"5238888",0,0,0,1,0.9,0.81,0.729,2.7680533534921,15.2467866980703,13.7221080282633,15.9470309645398,14.3523278680858,12.9170950812772,11.6253855731495,10.4628470158346
"4220395",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"5001397",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4953274",0,0,0,0,0,0,0,1,9.30263302132089,8.3723697191888,7.53513274726992,6.78161947254293,6.10345752528864,5.49311177275977,7.88235713131172
"802261",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"1251130",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"389284",0,0,0,0,0,0,0,1,9.30263302132089,8.3723697191888,7.53513274726992,6.78161947254293,6.10345752528863,5.49311177275977,4.9438005954838
"5310752",6.29583686600433,15.905130588867,18.0414093155551,50.0127140907854,70.1034156852702,65.1592950091069,58.6433655081962,52.7790289573766,47.501126061639,81.1749930212695,79.8455804480861,86.6145413873201,77.9530872485881,79.8485004531932,71.8636504078738
"4796566",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"5294981",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"3092982",0,1,6.08248560137009,5.47423704123308,4.92681333710977,7.38888636579707,6.64999772921737,19.8823471824935,42.8717403927113,47.4984160481972,47.2260658795924,46.9604627101298,42.2644164391168,42.3755793067035,42.467279778918
"4589807",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"3545125",0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.81,0.729
"4269831",0,0,0,0,0,0,0,0,9.54517744447956,8.59065970003161,7.73159373002845,10.1833107487756,9.16497967389803,8.24848170650823,7.4236335358574
"4023465",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"388487",0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.81
"2413551",0,1,0.9,0.81,0.729,2.7680533534921,2.49124801814289,2.2421232163286,4.53814407893144,4.08432967103829,3.67589670393447,3.30830703354102,2.97747633018692,2.67972869716823,2.4117558274514
"740681",0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899,1.70823570315209
"4747932",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"2927603",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,5.08028401515777,4.57225561364199,4.11503005227779,3.70352704705001,3.33317434234501,2.99985690811051,2.69987121729946
"5351294",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14432",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,2.16801417552399,1.95121275797159,1.75609148217444,0.96991059609,0.872919536481,0.7856275828329
"4761793",0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481,0.2541865828329
"266367",0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969
"4750684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3983213",0,0,0,0,0,0,0,0,13.0471895621705,11.7424706059535,10.5682235453581,9.5114011908223,8.56026107174007,7.70423496456606,6.93381146810946
"315056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4715881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5219932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2712024",0,0,0,0,0,0,0,0,1,0.9,3.05460562531838,2.74914506278654,2.47423055650789,2.2268075008571,2.00412675077139
"3690405",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"2228282",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,2.7680533534921,2.49124801814289,2.2421232163286
"4767994",0,0,0,0,0,0,0,3.38629436111989,12.5190053341705,11.2671048007535,10.1403943206781,9.12635488861033,8.2137193997493,7.39234745977437,6.65311271379693
"5249362",0,0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,5.1294443068789,4.61649987619101,4.15484988857191
"2324552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1882887",0,0,0,0,0,0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441
"4074186",0,0,0,0,0,0,0,0,1,3.21434684781959,2.89291216303763,2.60362094673387,2.34325885206048,2.10893296685444,1.89803967016899
"5050928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5319831",0,0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,2.4089046394711,2.16801417552399,1.95121275797159,1.75609148217444,3.94569050032084
"5172195",0,0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792
"3578712",0,1,3.21434684781959,8.83943676171549,7.95549308554394,21.4897966983209,19.3408170284888,17.4067353256399,31.456120151654,28.3105081364886,37.084649562853,33.3761846065677,34.2246438662209,30.8021794795988,36.0251573296421
"1713625",0,0,1,0.9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0.3486784401,0.31381059609,0.282429536481
"4886392",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"2258507",0,0,0,0,0,0,0,0,6.29583686600433,5.6662531794039,5.09962786146351,4.58966507531716,4.13069856778544,3.7176287110069,3.34586583990621
"5356240",0,0,0,0,0,0,0,3.38629436111989,3.0476649250079,2.74289843250711,2.4686085892564,2.22174773033076,1.99957295729769,1.79961566156792,0.9565938
